Numer markera;LISTA KONFERENCJI (DO MAP.CONFERENCES.LIFE);OBSZAR (FILTROWANIE);link do programu konferencji (ang);KRAJ;LOKALIZACJA;REGION;LOKALIZACJA (WSPÓŁRZĘNE);STRONA INTERNETOWA KONFERENCJE
1;Wyzwania współczesnego świata w obszarze zdrowia i etyki;HEALTH;;POLSKA;WARSAW;Europa;54.245164,16.1659693;http://world.conferences.life/conferences/poland-conferences-life/
1;Wyzwania współczesnego świata w obszarze zdrowia i etyki;JOB;;POLSKA;WARSAW;Europa;54.245164,16.1659693;http://world.conferences.life/conferences/poland-conferences-life/
1;Wyzwania współczesnego świata w obszarze zdrowia i etyki;MANAGEMENT;;POLSKA;WARSAW;Europa;54.245164,16.1659693;http://world.conferences.life/conferences/poland-conferences-life/
1;Wyzwania współczesnego świata w obszarze zdrowia i etyki;ENERGY;;POLSKA;WARSAW;Europa;54.245164,16.1659693;http://world.conferences.life/conferences/poland-conferences-life/
1;Wyzwania współczesnego świata w obszarze zdrowia i etyki;COMMUNICATION;;POLSKA;WARSAW;Europa;54.245164,16.1659693;http://world.conferences.life/conferences/poland-conferences-life/
1;Wyzwania współczesnego świata w obszarze zdrowia i etyki;INDUSTRY;;POLSKA;WARSAW;Europa;54.245164,16.1659693;http://world.conferences.life/conferences/poland-conferences-life/
1;Wyzwania współczesnego świata w obszarze zdrowia i etyki;NUTRITION;;POLSKA;WARSAW;Europa;54.245164,16.1659693;http://world.conferences.life/conferences/poland-conferences-life/
1;Wyzwania współczesnego świata w obszarze zdrowia i etyki;AGRICULTURE;;POLSKA;WARSAW;Europa;54.245164,16.1659693;http://world.conferences.life/conferences/poland-conferences-life/
1;Wyzwania współczesnego świata w obszarze zdrowia i etyki;ETHICS;;POLSKA;WARSAW;Europa;54.245164,16.1659693;http://world.conferences.life/conferences/poland-conferences-life/
1;Wyzwania współczesnego świata w obszarze zdrowia i etyki;STRATEGY;;POLSKA;WARSAW;Europa;54.245164,16.1659693;http://world.conferences.life/conferences/poland-conferences-life/
1;Wyzwania współczesnego świata w obszarze zdrowia i etyki;DEVELOPMENT;;POLSKA;WARSAW;Europa;54.245164,16.1659693;http://world.conferences.life/conferences/poland-conferences-life/
1;Wyzwania współczesnego świata w obszarze zdrowia i etyki;RIGHT;;POLSKA;WARSAW;Europa;54.245164,16.1659693;http://world.conferences.life/conferences/poland-conferences-life/
1;Wyzwania współczesnego świata w obszarze zdrowia i etyki;MARKETING;;POLSKA;WARSAW;Europa;54.245164,16.1659693;http://world.conferences.life/conferences/poland-conferences-life/
1;Wyzwania współczesnego świata w obszarze zdrowia i etyki;SOCIETY;;POLSKA;WARSAW;Europa;54.245164,16.1659693;http://world.conferences.life/conferences/poland-conferences-life/
1;Wyzwania współczesnego świata w obszarze zdrowia i etyki;EDUCATION;;POLSKA;WARSAW;Europa;54.245164,16.1659693;http://world.conferences.life/conferences/poland-conferences-life/
1;Wyzwania współczesnego świata w obszarze zdrowia i etyki;CULTURE;;POLSKA;WARSAW;Europa;54.245164,16.1659693;http://world.conferences.life/conferences/poland-conferences-life/
1;Wyzwania współczesnego świata w obszarze zdrowia i etyki;EDUCATION;;POLSKA;WARSAW;Europa;54.245164,16.1659693;http://world.conferences.life/conferences/poland-conferences-life/
1;Wyzwania współczesnego świata w obszarze zdrowia i etyki;PSYCHOLOGY;;POLSKA;WARSAW;Europa;54.245164,16.1659693;http://world.conferences.life/conferences/poland-conferences-life/
1;Wyzwania współczesnego świata w obszarze zdrowia i etyki;ETHICS;;POLSKA;WARSAW;Europa;54.245164,16.1659693;http://world.conferences.life/conferences/poland-conferences-life/
1;Wyzwania współczesnego świata w obszarze zdrowia i etyki;ENVIRONMENT;;POLSKA;WARSAW;Europa;54.245164,16.1659693;http://world.conferences.life/conferences/poland-conferences-life/
1;Wyzwania współczesnego świata w obszarze zdrowia i etyki;MEDIA;;POLSKA;WARSAW;Europa;54.245164,16.1659693;http://world.conferences.life/conferences/poland-conferences-life/
1;Wyzwania współczesnego świata w obszarze zdrowia i etyki;MANAGEMENT;;POLSKA;WARSAW;Europa;54.245164,16.1659693;http://world.conferences.life/conferences/poland-conferences-life/
1;Wyzwania współczesnego świata w obszarze zdrowia i etyki;ENVIRONMENT;;POLSKA;WARSAW;Europa;54.245164,16.1659693;http://world.conferences.life/conferences/poland-conferences-life/
1;Wyzwania współczesnego świata w obszarze zdrowia i etyki;TOURISM;;POLSKA;WARSAW;Europa;54.245164,16.1659693;http://world.conferences.life/conferences/poland-conferences-life/
1;Wyzwania współczesnego świata w obszarze zdrowia i etyki;SECURITY;;POLSKA;WARSAW;Europa;54.245164,16.1659693;http://world.conferences.life/conferences/poland-conferences-life/
1;Wyzwania współczesnego świata w obszarze zdrowia i etyki;PSYCHOLOGY;;POLSKA;WARSAW;Europa;54.245164,16.1659693;http://world.conferences.life/conferences/poland-conferences-life/
1;Wyzwania współczesnego świata w obszarze zdrowia i etyki;TECHNOLOGY;;POLSKA;WARSAW;Europa;54.245164,16.1659693;http://world.conferences.life/conferences/poland-conferences-life/
;;;;Afghanistan;Kabul;;34.57374312413082, 69.2169078997711;
;;;;Albania;Tirana;;41.36923800967065, 19.8238818796158;
;;;;Algeria;Algiers;;36.7573316801539, 3.059431959169924;
;;;;Andorra;Andorra la Vella;;42.51334637648946, 1.5243745252748089;
;;;;Angola;Luanda;;-8.66286704799935, 13.296929363167479;
;;;;Antigua and Barbuda;Saint John's;;17.150272907206528, -61.84189220848997;
;;;;Argentina;Buenos Aires;;-34.511672346172965, -58.358622376718465;
;;;;Armenia;Yerevan;;40.193503711313625, 44.5153095501013;
;;;;Australia;Canberra;;-35.23825212531252, 149.1286334305162;
;;;;Austria;Vienna;;48.238573674909766, 16.407887868909267;
;;;;Azerbaijan;Baku;;40.54880077636371, 49.88255305441415;
;;;;Bahamas;Nassau;;25.06081240434837, -77.41343796723596;
;;;;Bahrain;Manama;;26.323870376156393, 50.603274768205615;
;;;;Bangladesh;Dhaka;;24.385082298868507, 90.32828146354547;
;;;;Barbados;Bridgetown;;13.205017567115618, -59.596808696655756;
;;;;Belarus;Minsk;;53.9305733888993, 27.53384200166241;
;;;;Belgium;Brussels;;50.9127285316098, 4.346486575980511;
;;;;Belize;Belmopan;;17.45782905051259, -88.74455599027424;
;;;;Benin;Porto-Novo;;6.4996719091541255, 2.626750925544018;
;;;;Bhutan;Thimphu;;27.47302484923374, 89.63259926622048;
;;;;Bolivia;Sucre (de jure),;;19.01 65.15;
;;;;Bolivia;La Paz (seat of government);;16.30 68.09;
;;;;Bosnia and Herzegovina;Sarajevo;;43.98771785798419, 18.422823372725464;
;;;;Botswana;Gaborone;;-24.55224593464235, 25.954577527068988;
;;;;Brazil;Brasilia;;-15.734275284275034, -47.944238768725334;
;;;;Brunei;Bandar Seri Begawan;;4.975737826214175, 114.93458091132977;
;;;;Bulgaria;Sofia;;42.82367465670923, 23.31787788308991;
;;;;Burkina Faso;Ouagadougou;;12.437147324236195, -1.5239645487393538;
;;;;Burundi;Gitega;;-3.3877937251496677, 29.924945141256842;
;;;;Cabo Verde;Praia;;14.933956950288806, -23.51170863209043;
;;;;Cambodia;Phnom Penh;;11.814718646870709, 105.09773111957593;
;;;;Cameroon;Yaounde;;3.849241283400161, 11.514981215444669;
;;;;Canada;Ottawa;;45.534156568847465, -75.77435189200432;
;;;;Central African Republic;Bangui;;4.393965635842292, 18.560715923745377;
;;;;Chad;N'Djamena;;12.139341955017137, 15.061575163207532;
;;;;Chile;Santiago;;-33.441537852969454, -70.65460040116369;
;;;;China;Beijing;;39.925910021468, 116.3905469671759;
;;;;Colombia;Bogotá;;4.7166775764965685, -74.07902845167453;
;;;;Comoros;Moroni;;-11.712619653619047, 43.24994989909573;
;;;;Congo, Democratic Republic of the;Kinshasa;;-4.443051326749865, 15.279470977044745;
;;;;Congo, Republic of the;Brazzaville;;-4.257453780379531, 15.309604901783363;
;;;;Costa Rica;San Jose;;37.37564933561809, -121.92266476303875;
;;;;Cote d'Ivoire;Yamoussoukro;;6.72417038946036, -5.501288821672521;
;;;;Croatia;Zagreb;;45.86695323833798, 16.01583529026906;
;;;;Cuba;Havana;;45.59465055088851, -75.74493188914228;
;;;;Cyprus;Nicosia;;35.299968712634644, 33.39827441419227;
;;;;Czechia;Prague;;50.10196646909235, 14.418366007955214;
;;;;Denmark;Copenhagen;;55.711379703856856, 12.649839361726393;
;;;;Djibouti;Djibouti (city);;11.745680665617527, 42.63834680290225;
;;;;Dominica;Roseau;;15.388496211315141, -61.37866504639459;
;;;;Dominican Republic;Santo Domingo;;18.55284139342122, -69.94968432037743;
;;;;Ecuador;Quito;;-0.019034532863766076, -78.45541114506518;
;;;;Egypt;Cairo;;30.33205425949886, 31.305874500832765;
;;;;El Salvador;San Salvador;;13.771130344799099, -89.2284132775673;
;;;;Equatorial Guinea;Malabo (de jure),;;3.805146553246199, 8.784909167397869;
;;;;Equatorial Guinea;Oyala (seat of government);;1.8363687849199832, 10.804723280973775;
;;;;Eritrea;Asmara;;15.426738613726622, 38.94271500425077;
;;;;Estonia;Tallinn;;59.47118834966167, 24.74166887739174;
;;;;Eswatini Mbabane (administrative)(formerly Swaziland);Mbabane (administrative);;-26.25946420492785, 31.133809094467384;
;;;;Eswatini Mbabane (administrative)(formerly Swaziland);Lobamba (legislative, royal);;-26.368784348008074, 31.18783431087766;
;;;;Ethiopia;Addis Ababa;;9.246312501288095, 38.937383024377176;
;;;;Fiji;Suva;;-18.03853730849649, 178.41504742708918;
;;;;Finland;Helsinki;;60.2334347624839, 24.908205480261174;
;;;;France;Paris;;48.97154739530642, 2.3896899350583047;
;;;;Gabon;Libreville;;0.4914460722294174, 9.47364750549345;
;;;;Gambia;Banjul;;13.471133023306765, -16.575497099715253;
;;;;Georgia;Tbilisi;;41.72110000346072, 44.83472189465234;
;;;;Germany;Berlin;;52.60814380546516, 13.255337887042502;
;;;;Ghana;Accra;;5.602355798666968, -0.17835988600126942;
;;;;Greece;Athens;;38.095219300739814, 23.71250919146293;
;;;;Grenada;Saint George's;;12.074665561791589, -61.74716577547629;
;;;;Guatemala;Guatemala City;;14.767751137702636, -90.50855649209039;
;;;;Guinea;Conakry;;9.778132127611725, -13.610358008779766;
;;;;Guinea-Bissau;Bissau;;11.9621268471848, -15.581571233022888;
;;;;Guyana;Georgetown;;6.851724476841205, -58.15969535817848;
;;;;Haiti;Port-au-Prince;;18.743443168959953, -72.35329915113029;
;;;;Honduras;Tegucigalpa;;14.25534479944265, -87.1346620447241;
;;;;Hungary;Budapest;;47.549691132495674, 19.019677370062325;
;;;;Iceland;Reykjavik;;64.24063525785415, -21.91093571478175;
;;;;India;New Delhi;;28.644637375945088, 77.21511469283203;
;;;;Indonesia;Jakarta;;-6.070358527306597, 106.85400109043933;
;;;;Iran;Tehran;;35.76673058808953, 51.35188813188537;
;;;;Iraq;Baghdad;;33.40678932976811, 44.36026011727201;
;;;;Ireland;Dublin;;53.459647714627984, -6.229377756334107;
;;;;Israel;Jerusalem;;31.775916369186692, 35.08101616382391;
;;;;Italy;Rome;;41.898478883387384, 12.597085583500531;
;;;;Jamaica;Kingston;;18.085745149004016, -76.82805418314358;
;;;;Japan;Tokyo;;36.00591726000163, 139.7083126822076;
;;;;Jordan;Amman;;31.964866287979994, 35.89539487150602;
;;;;Kazakhstan;Nur-Sultan;;51.26293456398401, 71.47204045101955;
;;;;Kenya;Nairobi;;-0.20409393881447901, 36.453531655821656;
;;;;Kiribati;Tarawa;;1.47016338685806, 172.9749584712205;
;;;;Kosovo;Pristina;;42.8966512968131, 21.145126979549385;
;;;;Kuwait;Kuwait City;;29.409788752388, 47.98452799314339;
;;;;Kyrgyzstan;Bishkek;;43.056843990043426, 74.55423766777695;
;;;;Laos;Vientiane;;18.64836300824868, 102.62366396578956;
;;;;Latvia;Riga;;56.997609684620606, 24.04213689853027;
;;;;Lebanon;Beirut;;33.9326578457743, 35.499162346764116;
;;;;Lesotho;Maseru;;-29.14348834100609, 27.507708519905545;
;;;;Liberia;Monrovia;;6.357646024067299, -10.812089391014329;
;;;;Libya;Tripoli;;32.98252804560143, 13.184451081989064;
;;;;Liechtenstein;Vaduz;;47.14730196887172, 9.520817368561675;
;;;;Lithuania;Vilnius;;54.734187461668505, 25.24178335762763;
;;;;Luxembourg;Luxembourg (city);;49.84745329595393, 6.129583428598441;
;;;;Madagascar;Antananarivo;;-18.501289920267038, 47.376544464876176;
;;;;Malawi;Lilongwe;;-13.74065416661276, 33.81875457725901;
;;;;Malaysia;Kuala Lumpur;;3.3350263803978613, 101.68553159124033;
;;;;Maldives;Male;;4.186181962169234, 73.50678344803323;
;;;;Mali;Bamako;;12.707511605164562, -7.986378056900674;
;;;;Malta;Valletta;;35.90873645949448, 14.511493502237128;
;;;;Marshall Islands;Majuro;;7.122163684994732, 171.18290854657337;
;;;;Mauritania;Nouakchott;;18.153944338631838, -15.964549752006068;
;;;;Mauritius;Port Louis;;-20.03257027632229, 57.50374351169892;
;;;;Mexico;Mexico City;;19.729561535935385, -99.16233602515251;
;;;;Micronesia;Palikir;;6.96419851878966, 158.1671687210874;
;;;;Moldova;Chisinau;;47.71900000022432, 28.671433688946728;
;;;;Monaco;Monaco;;43.7384051862785, 7.421860001754901;
;;;;Mongolia;Ulaanbaatar;;47.95692782634221, 106.92460712442386;
;;;;Montenegro;Podgorica;;42.56377125155446, 19.27708254524187;
;;;;Morocco;Rabat;;34.19155443374898, -6.858182761520529;
;;;;Mozambique;Maputo;;-25.92311154688404, 32.667723110484715;
;;;;Myanmar (formerly Burma);Naypyidaw;;19.77188308766915, 96.01423322493653;
;;;;Namibia;Windhoek;;-22.561191487939677, 17.065901543114226;
;;;;Nauru;Yaren District (de facto);;-0.5469836457188022, 166.92094372852503;
;;;;Nepal;Kathmandu;;27.813383982354406, 85.2054493711642;
;;;;Netherlands;Amsterdam;;52.43264645371429, 4.950665013877334;
;;;;New Zealand;Wellington;;-41.242668843885156, 174.75466755545395;
;;;;Nicaragua;Managua;;12.11678434470974, -86.2272210161864;
;;;;Niger;Niamey;;13.54058231654142, 2.087224119080835;
;;;;Nigeria;Abuja;;9.077361469831239, 7.398465342196099;
;;;;North Korea;Pyongyang;;39.04006380718451, 125.75936002877219;
;;;;North Macedonia (formerly Macedonia);Skopje;;42.02893533890685, 21.46161821189755;
;;;;Norway;Oslo;;59.91203013656633, 10.75695788491511;
;;;;Oman;Muscat;;23.6712054315546, 58.39337774260251;
;;;;Pakistan;Islamabad;;33.76065694369112, 73.03568543648112;
;;;;Palau;Ngerulmud;;7.500409963660658, 134.6236408967634;
;;;;Palestine;Jerusalem (East);;31.76886624128164, 35.20659888613412;
;;;;Panama;Panama City;;8.983921766907821, -79.50346612596178;
;;;;Papua New Guinea;Port Moresby;;-9.442729141757601, 147.17535531394702;
;;;;Paraguay;Asunción;;-25.26522548326213, -57.58333534932693;
;;;;Peru;Lima;;-12.04387380615302, -77.03983061711268;
;;;;Philippines;Manila;;14.560666403017255, 120.98018502791173;
